periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
11/2024;qtd_aprovada;"130083 CAAPIRANGA";-;33;-;730;-;67;181;-;-;-;-;-;-;-;-;-;3053;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;4177
11/2024;qtd_aprovada;"130090 CANUTAMA";-;9;-;941;-;290;24;-;-;-;-;-;105;-;-;79;3752;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5219
11/2024;qtd_aprovada;"130100 CARAUARI";-;15;-;11766;-;777;23;-;-;-;-;-;202;-;-;10;6576;-;13;-;-;-;-;-;-;-;268;-;-;-;-;2;27;-;-;-;-;-;-;5;27;-;-;-;-;-;-;-;-;28;-;-;-;19739
11/2024;qtd_aprovada;"130110 CAREIRO";81;-;14;18294;-;644;528;-;-;-;-;-;72;-;559;258;141856;-;3;-;-;-;-;1172;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;170;163655
11/2024;qtd_aprovada;"130115 CAREIRO DA VARZEA";59;-;2170;2205;-;122;24;-;-;-;-;-;-;-;-;-;1895;-;-;-;-;-;103;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6654
11/2024;qtd_aprovada;"130120 COARI";38;24;93;27098;-;2301;1946;-;-;-;56;-;672;-;-;3103;66312;2887;87;-;-;29;-;-;-;-;489;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105135
11/2024;qtd_aprovada;"130130 CODAJAS";32;37;-;697;-;444;106;-;-;-;-;-;70;-;-;1;1041;157;-;-;-;-;-;12;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2636
11/2024;qtd_aprovada;"130140 EIRUNEPE";2034;44;1512;1902;-;225;-;-;-;-;-;-;70;-;2;166;7129;142;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;13260
11/2024;qtd_aprovada;"130150 ENVIRA";-;-;312;1866;-;302;2;-;-;-;-;-;5;-;1;265;5877;-;-;-;-;-;-;93;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8727
11/2024;qtd_aprovada;"130160 FONTE BOA";1360;286;-;11829;-;-;-;-;-;-;-;-;-;-;-;4000;36515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54040
11/2024;qtd_aprovada;"130165 GUAJARA";17343;53;52;656;-;288;192;-;-;-;-;-;32;-;-;287;44777;146;1;-;-;-;10;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;1451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65410
11/2024;qtd_aprovada;"130170 HUMAITA";6066;270;13;18043;-;3119;411;115;-;-;10;13;5773;130;38;297;39493;484;665;-;-;129;213;145;-;-;305;-;46;-;-;1;51;38;2;12;-;-;647;7;3;-;-;-;-;-;-;-;-;-;-;-;928;77467
11/2024;qtd_aprovada;"130180 IPIXUNA";-;-;-;-;-;341;305;-;-;-;-;-;-;-;-;-;349;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;997
11/2024;qtd_aprovada;"130185 IRANDUBA";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203
11/2024;qtd_aprovada;"130190 ITACOATIARA";1921;619;1592;73546;-;2787;1171;-;-;-;-;-;1634;240;259;-;101119;6349;59;-;-;247;-;40;-;-;1007;-;35;-;-;46;-;-;-;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;3409;196209
11/2024;qtd_aprovada;"130195 ITAMARATI";-;-;-;13525;-;7845;99;-;-;-;-;-;95;-;-;1185;2450;-;-;-;-;-;-;-;-;-;83;-;-;-;-;-;-;-;-;80;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;25432
11/2024;qtd_aprovada;"130200 ITAPIRANGA";-;-;-;2741;-;110;-;-;-;-;-;-;-;-;-;60;3163;-;-;-;-;-;-;-;-;-;287;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6361
11/2024;qtd_aprovada;"130210 JAPURA";-;52;-;1906;-;106;-;-;-;-;-;-;191;-;-;-;820;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;3099
11/2024;qtd_aprovada;"130220 JURUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"130230 JUTAI";-;-;-;127;-;220;5;-;-;-;-;-;46;-;-;1;435;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;908
11/2024;qtd_aprovada;"130240 LABREA";200;-;78;6746;-;793;41;-;-;-;-;-;-;-;-;479;3971;-;-;-;-;-;31;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12348
11/2024;qtd_aprovada;"130250 MANACAPURU";19763;45;-;38121;-;4111;3196;-;-;-;-;-;10468;-;263;383;117796;-;-;-;-;50;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;194287
11/2024;qtd_aprovada;"130255 MANAQUIRI";-;16;-;699;-;279;117;-;-;-;-;-;11;-;-;4;3503;78;-;-;-;5;-;348;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5063
11/2024;qtd_aprovada;"130260 MANAUS";29539;2320;2589;1263172;24412;59350;31221;19695;4709;595;3902;9;44146;25688;1277;15676;1131833;38563;1291;4430;13914;13117;15865;3787;53;-;19033;1;550;2339;23;319;75;18;-;-;4;7;1762;1876;1987;183;29;-;-;-;902;-;1202518;12304;258;-;32944;4028285
11/2024;qtd_aprovada;"130270 MANICORE";581;-;-;18614;-;1896;335;-;-;-;113;-;475;-;-;322;20970;581;-;-;-;-;-;-;-;-;1722;-;25;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;-;-;138;45886
11/2024;qtd_aprovada;"130280 MARAA";15099;-;-;8024;-;1166;313;-;-;-;-;-;-;-;-;317;11324;-;-;-;-;-;-;-;-;-;322;-;80;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36733
11/2024;qtd_aprovada;"130290 MAUES";43;287;3;18782;-;1307;100;335;-;-;-;-;267;-;2;274;10959;402;-;-;-;-;110;-;-;-;494;-;9;-;-;-;1;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;19;-;-;1237;34665
11/2024;qtd_aprovada;"130300 NHAMUNDA";-;-;-;2319;-;456;186;-;-;-;-;-;-;-;-;-;3782;-;-;-;-;-;-;-;-;-;201;-;2;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;6996
11/2024;qtd_aprovada;"130310 NOVA OLINDA DO NORTE";152;-;-;16513;-;413;-;-;-;-;-;-;67;-;-;897;27765;846;-;-;-;-;-;422;-;-;649;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;47753
11/2024;qtd_aprovada;"130320 NOVO AIRAO";-;43;-;5042;-;607;336;-;-;-;-;-;54;-;-;226;9084;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;15543
11/2024;qtd_aprovada;"130330 NOVO ARIPUANA";37;50;126;25932;-;612;54;-;-;-;-;-;6;-;-;398;3974;193;-;-;-;-;-;-;-;-;175;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31558
11/2024;qtd_aprovada;"130340 PARINTINS";8952;-;328;45229;-;3461;1869;530;-;-;21;-;1703;209;4;1126;78134;854;65;-;-;296;533;-;-;-;2198;-;13;-;-;2;9;-;-;-;10;4;91;-;-;-;-;-;-;-;-;-;-;63;-;-;10991;156695
11/2024;qtd_aprovada;"130350 PAUINI";-;381;-;10033;-;274;137;-;-;-;29;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;10918
11/2024;qtd_aprovada;"130353 PRESIDENTE FIGUEIREDO";-;27;-;12633;-;1075;-;-;-;-;-;-;-;-;-;205;4336;300;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18616
11/2024;qtd_aprovada;"130356 RIO PRETO DA EVA";660;169;-;9129;-;2470;91;-;-;-;-;-;100;-;-;2557;37665;-;-;-;-;-;-;-;-;-;723;-;36;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;53676
11/2024;qtd_aprovada;"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1871;-;-;-;-;-;-;-;-;-;-;3;51;3045;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4970
11/2024;qtd_aprovada;"130370 SANTO ANTONIO DO ICA";-;-;-;8369;-;147;-;-;-;-;-;-;-;-;140;212;8089;-;-;-;-;10;-;-;-;-;170;-;19;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17160
11/2024;qtd_aprovada;"130380 SAO GABRIEL DA CACHOEIRA";271;-;28;8417;-;112;71;-;-;-;-;-;53;-;-;907;6857;150;-;-;-;-;60;-;-;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17060
11/2024;qtd_aprovada;"130390 SAO PAULO DE OLIVENCA";-;-;-;10358;-;978;234;-;-;-;-;-;-;-;592;85;2978;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;15250
11/2024;qtd_aprovada;"130395 SAO SEBASTIAO DO UATUMA";15;-;-;3875;-;278;301;-;-;-;-;-;346;-;-;278;7952;511;8;-;-;-;-;-;-;-;243;-;7;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;22;-;-;112;13982
11/2024;qtd_aprovada;"130400 SILVES";-;-;-;3368;-;269;206;-;-;-;-;-;373;-;-;179;6208;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;30;-;-;2613;13398
11/2024;qtd_aprovada;"130406 TABATINGA";94;136;10;12057;-;2520;410;-;-;-;-;-;62;-;-;34;12391;153;-;-;-;64;1025;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29152
11/2024;qtd_aprovada;"130410 TAPAUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"130420 TEFE";769;1136;75;44759;-;7486;2343;-;-;-;50;-;780;-;4;1762;39141;4723;344;-;-;-;761;5644;-;-;695;-;10;-;-;-;-;-;-;-;-;3;140;-;181;-;-;-;-;-;-;-;-;91;15;-;2620;113532
11/2024;qtd_aprovada;"130423 TONANTINS";11122;-;-;920;-;224;265;-;-;-;-;-;128;-;137;455;13533;-;-;-;-;-;-;-;-;-;594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27378
11/2024;qtd_aprovada;"130426 UARINI";-;-;-;2974;-;462;134;-;-;-;-;-;31;-;-;41;2705;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6370
11/2024;qtd_aprovada;"130430 URUCARA";-;28;-;8644;-;202;124;-;-;-;-;-;139;-;-;10;4247;-;-;-;-;-;-;-;-;-;79;-;12;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;96;13617
11/2024;qtd_aprovada;"130440 URUCURITUBA";-;30;-;-;-;169;-;-;-;-;-;-;-;-;-;23;1426;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1675
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"140002 AMAJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
11/2024;qtd_aprovada;"140005 ALTO ALEGRE";668;12;-;1970;-;239;-;-;-;-;-;-;-;-;20;104;5183;67;-;-;-;-;10;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8314
11/2024;qtd_aprovada;"140010 BOA VISTA";44826;458;3200;215566;1736;11338;2844;1425;958;92;105;3;6953;8330;2794;3259;135636;2699;1255;447;3853;2147;845;4437;-;-;674;-;45;1616;-;1;2;-;-;-;-;-;174;-;4;19;-;-;-;-;-;-;91218;147;20;-;28049;577175
11/2024;qtd_aprovada;"140015 BONFIM";-;915;-;368;-;-;-;-;-;-;-;-;-;-;-;40;2140;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3477
11/2024;qtd_aprovada;"140017 CANTA";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;268
11/2024;qtd_aprovada;"140020 CARACARAI";-;71;-;1359;-;628;-;-;-;-;-;-;20;-;-;300;5505;-;-;-;-;-;2;-;-;-;34;-;3;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7933
11/2024;qtd_aprovada;"140023 CAROEBE";-;-;-;957;-;198;26;-;-;-;-;-;-;-;-;380;4396;125;-;-;-;-;-;-;-;-;62;-;10;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6187
11/2024;qtd_aprovada;"140028 IRACEMA";18;4;6;15;-;-;-;-;-;-;-;-;-;-;-;223;3648;-;-;-;-;-;34;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3984
11/2024;qtd_aprovada;"140030 MUCAJAI";-;-;-;1553;-;860;-;-;-;-;-;-;-;-;-;-;8989;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11499
11/2024;qtd_aprovada;"140040 NORMANDIA";15;-;-;472;-;-;-;-;-;-;-;-;-;-;4;5;1232;-;-;-;-;-;36;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1823
11/2024;qtd_aprovada;"140045 PACARAIMA";-;6;-;1604;-;447;-;-;-;-;-;-;4;-;-;72;2378;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4528
11/2024;qtd_aprovada;"140047 RORAINOPOLIS";1014;30;-;8429;-;3256;199;99;-;-;-;-;9;-;-;434;3128;504;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17108
11/2024;qtd_aprovada;"140050 SAO JOAO DA BALIZA";-;38;-;386;-;-;-;-;-;-;-;-;-;-;-;72;2531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3041
11/2024;qtd_aprovada;"140060 SAO LUIZ";-;-;-;453;-;-;-;-;-;-;-;-;-;-;-;47;3801;1147;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5453
11/2024;qtd_aprovada;"140070 UIRAMUTA";-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - PA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"150010 ABAETETUBA";448;-;1025;11293;377;2482;1824;398;-;-;173;-;888;715;-;2948;61665;-;8;-;1184;508;442;-;-;-;323;-;126;-;-;-;-;1;-;-;-;11;160499;-;-;4;-;-;-;-;-;-;6476;-;12;-;1398;255228
11/2024;qtd_aprovada;"150013 ABEL FIGUEIREDO";160;9;-;2199;-;98;95;-;-;-;-;-;-;-;1;83;3291;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6052
11/2024;qtd_aprovada;"150020 ACARA";1138;24;-;12498;-;896;368;-;-;-;-;-;319;-;-;81;41941;-;109;-;-;-;64;-;-;-;339;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3973;61750
11/2024;qtd_aprovada;"150030 AFUA";-;40;-;1525;83;90;152;-;-;-;-;-;-;-;-;-;772;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2806
11/2024;qtd_aprovada;"150034 AGUA AZUL DO NORTE";-;101;-;31284;79;493;210;-;-;-;4;-;50;-;24;182;3722;-;75;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;1877;38129
11/2024;qtd_aprovada;"150040 ALENQUER";89;91;-;3840;-;36;108;-;-;-;-;-;130;-;-;-;2849;1967;21;-;-;-;288;-;-;-;301;-;69;-;2;-;-;12;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;6944;16887
11/2024;qtd_aprovada;"150050 ALMEIRIM";-;420;-;8065;-;1034;342;-;-;-;-;-;24;-;20;87;8022;1765;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;19840
11/2024;qtd_aprovada;"150060 ALTAMIRA";1510;217;59;78987;499;5622;873;537;36;-;101;-;887;694;1;1101;80082;-;10;-;1373;462;446;-;-;-;243;-;26;-;-;-;-;-;-;-;-;7;81;-;9;19;-;-;-;-;-;-;18090;-;6;-;19720;211698
11/2024;qtd_aprovada;"150070 ANAJAS";-;74;2009;6329;-;189;-;-;-;-;-;-;-;-;-;-;4170;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;12813
11/2024;qtd_aprovada;"150080 ANANINDEUA";3748;1373;-;278889;-;33132;1103;2600;960;-;11;-;6451;-;-;1345;582021;1138;3972;-;5046;-;3481;107;-;-;546;-;1250;264;-;-;-;-;-;-;-;157;3628;699;-;13;-;-;-;-;-;-;24402;-;21;-;784;957141
11/2024;qtd_aprovada;"150085 ANAPU";-;58;72;7877;74;466;59;-;-;-;-;-;-;-;-;122;5332;110;-;-;-;-;-;-;-;-;138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;14408
11/2024;qtd_aprovada;"150090 AUGUSTO CORREA";-;87;-;1972;337;-;405;-;-;-;-;-;18;-;-;-;3480;1100;-;-;-;-;-;-;-;-;499;-;59;-;80;10;9;113;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;8190
11/2024;qtd_aprovada;"150095 AURORA DO PARA";-;5;-;1918;-;199;297;-;-;-;-;-;22;-;-;49;5005;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;6648;14172
11/2024;qtd_aprovada;"150100 AVEIRO";82;212;248;-;-;-;-;-;-;-;-;-;-;-;-;327;1196;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2065
11/2024;qtd_aprovada;"150110 BAGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;24
11/2024;qtd_aprovada;"150120 BAIAO";54;19;17;-;-;865;371;-;-;-;52;-;259;-;-;554;19122;-;-;-;-;-;-;-;-;-;587;-;32;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;409;22469
11/2024;qtd_aprovada;"150125 BANNACH";-;16;213;1797;1;37;-;-;-;-;-;-;3;-;-;95;944;-;-;-;-;-;60;26;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;20;-;-;236;3455
11/2024;qtd_aprovada;"150130 BARCARENA";17548;322;3150;52693;646;3270;2084;602;128;-;262;-;1670;-;-;3397;98095;1316;16;-;-;-;123;699;-;-;918;-;26;66;-;-;-;1;-;-;-;13;108;187;7;-;-;-;-;-;-;-;-;-;-;-;5164;192511
11/2024;qtd_aprovada;"150140 BELEM";17090;1767;12255;888168;9329;44326;14456;12217;2012;521;3146;115;116432;23329;9;72483;932845;158633;5791;4657;14260;10329;11711;481;-;-;3435;-;405;4859;-;38;113;71;1;-;8;10;2214;2023;27;104;1021;-;-;-;428;-;480598;20497;150;-;12225;2884589
11/2024;qtd_aprovada;"150145 BELTERRA";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;522;1533;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2279
11/2024;qtd_aprovada;"150150 BENEVIDES";1822;87;85;13661;219;2835;316;-;-;-;165;-;617;-;-;798;35834;154;-;-;-;-;534;-;-;-;127;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;1082;32;-;-;166;58777
11/2024;qtd_aprovada;"150157 BOM JESUS DO TOCANTINS";-;-;-;3575;141;59;98;-;-;-;-;-;-;-;-;30;742;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;549;5216
11/2024;qtd_aprovada;"150160 BONITO";-;59;-;1940;-;-;185;-;-;-;43;-;29;-;-;45;465;515;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3316
11/2024;qtd_aprovada;"150170 BRAGANCA";429;316;-;20289;505;1017;150;468;-;-;32;-;3923;-;-;782;32955;2640;45;-;1115;-;209;-;-;-;93;-;136;550;117;65;-;53;-;6;-;-;66;-;-;6;-;-;-;-;-;-;6729;50;18;-;-;72764
11/2024;qtd_aprovada;"150172 BRASIL NOVO";98;42;-;6042;124;281;7;-;-;-;-;-;46;-;-;-;9695;526;-;-;-;-;782;-;-;-;85;-;2;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;30;-;-;-;17950
11/2024;qtd_aprovada;"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"150178 BREU BRANCO";2103;34;-;18397;-;-;205;-;-;-;-;-;27;-;-;245;21997;95;-;-;-;-;-;-;-;-;30;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3473;46611
