periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
07/2024;qtd_aprovada;"120001 ACRELANDIA";-;43;233;-;-;-;-;-;-;-;-;-;-;-;-;430;3399;-;-;-;-;-;-;-;-;-;119;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4225
07/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5243;-;300;-;-;-;-;-;-;60;-;-;231;4385;-;-;-;-;-;-;-;-;-;54;-;5;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10280
07/2024;qtd_aprovada;"120010 BRASILEIA";5;20;-;12232;-;9676;58;313;-;-;-;-;60;-;-;131;18007;156;128;-;755;6;16;-;-;-;189;-;24;-;-;-;131;-;-;-;1;-;39;-;-;-;5;-;-;-;-;-;-;21;-;-;-;41973
07/2024;qtd_aprovada;"120013 BUJARI";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
07/2024;qtd_aprovada;"120017 CAPIXABA";9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102
07/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";22793;1239;398;71766;-;3076;1262;1135;505;-;13;-;1141;643;134;973;51651;1414;120;-;938;453;-;-;2;-;171;-;12;-;-;-;-;-;-;-;-;-;4;-;-;7;20;-;-;-;-;-;19558;19;61;-;-;179508
07/2024;qtd_aprovada;"120025 EPITACIOLANDIA";18;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298
07/2024;qtd_aprovada;"120030 FEIJO";-;-;-;12413;-;625;-;-;-;-;-;-;-;-;-;-;5660;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18754
07/2024;qtd_aprovada;"120032 JORDAO";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
07/2024;qtd_aprovada;"120033 MANCIO LIMA";11;15;755;5701;-;1054;-;-;-;-;-;-;98;-;-;956;13891;50;12;-;-;-;-;-;-;-;274;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;22915
07/2024;qtd_aprovada;"120034 MANOEL URBANO";-;21;57;3653;-;192;-;-;-;-;-;-;8;-;-;49;10715;-;-;-;-;-;-;-;-;-;56;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14752
07/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;27;1389;4315;-;637;-;-;-;-;-;-;-;-;-;719;10813;-;-;-;-;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18029
07/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";1244;93;1967;6382;-;585;-;-;-;-;-;-;29;-;20;147;10159;90;-;-;-;-;2;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20892
07/2024;qtd_aprovada;"120039 PORTO WALTER";295;21;-;4;-;77;-;-;-;-;-;-;21;-;-;156;3309;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3889
07/2024;qtd_aprovada;"120040 RIO BRANCO";47054;1042;11433;327636;6946;20083;5343;7841;1418;57;261;32;12720;2988;635;22621;398551;3604;420;936;4831;2333;14048;-;801;-;4086;-;133;407;-;36;2;89;-;-;-;-;1776;-;-;293;16;345;-;-;-;156;137190;740;88;-;9926;1048917
07/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;30;-;-;131;-;-;-;-;-;-;25;-;-;65;5072;-;-;-;-;-;-;-;-;-;59;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5383
07/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;16;-;1200;-;128;-;-;-;-;-;-;24;-;-;-;1456;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2830
07/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;68;-;22590;-;615;-;-;-;-;-;-;28;-;-;511;6015;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29875
07/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;129;275;14755;-;2704;29;-;-;-;-;-;97;-;-;277;14004;-;9;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32361
07/2024;qtd_aprovada;"120060 TARAUACA";-;30;-;6891;-;659;-;-;-;-;-;-;-;-;-;-;5060;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12789
07/2024;qtd_aprovada;"120070 XAPURI";-;21;-;6087;-;401;-;-;-;-;-;-;10;-;-;379;8279;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;15359
07/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53
07/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;649;-;99;292;-;-;-;-;-;1;-;-;-;2128;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3213
07/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1873;-;288;92;-;-;-;-;-;14;-;-;126;9810;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12247
07/2024;qtd_aprovada;"130008 ANAMA";-;-;-;3263;-;325;232;-;-;-;-;-;-;-;-;42;464;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4372
07/2024;qtd_aprovada;"130010 ANORI";-;176;-;6774;-;441;30;-;-;-;-;-;80;-;-;30;3028;-;-;-;-;-;-;-;-;-;170;-;40;-;50;-;-;65;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10944
07/2024;qtd_aprovada;"130014 APUI";-;21;-;5806;-;608;150;-;-;-;-;-;56;-;-;145;3069;229;2;-;-;7;-;-;-;-;137;-;10;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;10259
07/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;6255;-;463;362;-;-;-;-;-;87;-;74;273;7076;-;-;-;-;-;-;-;-;-;59;-;3;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;31;14707
07/2024;qtd_aprovada;"130030 AUTAZES";535;28;-;5963;-;-;615;-;-;-;-;-;499;-;-;485;27740;45;-;-;-;-;-;-;-;-;27;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;884;36824
07/2024;qtd_aprovada;"130040 BARCELOS";-;42;-;158;-;3;40;-;-;-;-;-;-;-;-;-;1520;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1766
07/2024;qtd_aprovada;"130050 BARREIRINHA";-;31;-;1170;-;361;7;-;-;-;5;-;410;-;-;329;3758;-;-;-;-;-;13;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6185
07/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;478
07/2024;qtd_aprovada;"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;424;-;3187;-;210;70;-;-;-;-;-;-;-;-;-;4314;56;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;8300
07/2024;qtd_aprovada;"130070 BOCA DO ACRE";424;188;-;28112;-;4908;99;-;-;-;-;-;161;-;-;-;5437;-;-;-;-;-;714;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;786;-;-;-;-;-;-;-;-;-;-;29;-;-;-;40858
07/2024;qtd_aprovada;"130080 BORBA";202;19;22;38;-;413;113;-;-;-;-;-;54;-;-;38;4478;470;-;-;-;-;-;-;100;-;171;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6121
07/2024;qtd_aprovada;"130083 CAAPIRANGA";-;41;-;1384;-;115;152;-;-;-;-;-;32;-;-;-;1071;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;2915
07/2024;qtd_aprovada;"130090 CANUTAMA";-;11;-;809;-;340;-;-;-;-;-;-;70;-;-;222;4659;-;10;-;-;-;-;-;-;-;95;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6221
07/2024;qtd_aprovada;"130100 CARAUARI";-;65;-;17892;-;1034;32;-;-;-;-;-;229;-;-;4;7647;-;60;-;-;-;-;-;-;-;184;-;-;-;-;-;26;-;-;-;-;-;-;8;-;26;-;-;-;-;-;-;-;-;-;-;-;27207
07/2024;qtd_aprovada;"130110 CAREIRO";-;-;19;17191;-;409;626;-;-;-;-;-;152;-;854;413;139819;-;332;-;-;-;-;-;1648;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;127;161621
07/2024;qtd_aprovada;"130115 CAREIRO DA VARZEA";93;-;3418;3504;-;138;284;-;-;-;-;-;-;-;-;-;1965;-;-;-;-;-;136;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9616
07/2024;qtd_aprovada;"130120 COARI";165;141;81;31191;-;2998;1566;-;-;-;-;-;526;-;-;5304;129219;3600;2;-;-;40;-;-;-;-;459;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175293
07/2024;qtd_aprovada;"130130 CODAJAS";-;31;-;737;-;493;323;-;-;-;-;-;200;-;-;17;879;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2692
07/2024;qtd_aprovada;"130140 EIRUNEPE";3037;101;2296;3338;-;335;257;-;-;-;-;-;97;-;2;480;9447;585;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;20070
07/2024;qtd_aprovada;"130150 ENVIRA";-;-;732;8;-;-;-;-;-;-;-;-;-;-;-;82;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;931
07/2024;qtd_aprovada;"130160 FONTE BOA";900;295;-;11555;-;50;-;-;-;-;-;-;940;-;-;2500;39109;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55404
07/2024;qtd_aprovada;"130165 GUAJARA";17343;53;52;2038;-;190;102;-;-;-;-;-;21;-;-;296;44219;195;1;-;-;-;10;-;-;-;107;-;1;-;-;-;-;-;-;-;-;-;1451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66079
07/2024;qtd_aprovada;"130170 HUMAITA";8476;179;54;26231;-;5407;366;259;-;-;-;55;4338;143;-;1368;66294;616;547;-;-;97;129;-;8;-;196;-;-;-;-;-;51;16;-;-;-;-;542;-;-;-;-;-;-;-;-;-;-;-;-;-;639;116011
07/2024;qtd_aprovada;"130180 IPIXUNA";-;-;-;5419;-;297;162;-;-;-;-;-;-;-;-;84;1584;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7553
07/2024;qtd_aprovada;"130185 IRANDUBA";-;80;-;4135;-;-;162;-;-;-;-;-;-;-;-;34;13376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17787
07/2024;qtd_aprovada;"130190 ITACOATIARA";2272;506;1663;91985;-;1988;827;421;-;-;-;-;1730;178;151;56;99720;6133;31;-;-;128;200;-;-;-;985;-;34;-;-;52;-;-;-;-;-;-;1;-;-;110;-;-;-;-;-;-;-;-;-;-;4000;213171
07/2024;qtd_aprovada;"130195 ITAMARATI";-;-;-;11790;-;6340;99;-;-;-;-;-;75;-;-;1020;1955;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;30;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;21431
07/2024;qtd_aprovada;"130200 ITAPIRANGA";-;-;-;2465;-;272;67;-;-;-;-;-;-;-;-;25;3153;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6212
07/2024;qtd_aprovada;"130210 JAPURA";-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
07/2024;qtd_aprovada;"130220 JURUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"130230 JUTAI";-;-;-;55;-;187;95;-;-;-;-;-;-;-;-;5;368;-;-;-;-;-;-;-;-;-;82;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;809
07/2024;qtd_aprovada;"130240 LABREA";960;-;80;7011;-;1302;16;-;-;-;-;-;-;-;-;1002;5552;-;-;-;-;-;136;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16060
07/2024;qtd_aprovada;"130250 MANACAPURU";12911;88;-;36368;-;2461;2305;-;-;-;-;-;8341;-;52;89;120836;-;36;-;-;-;-;-;-;-;165;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;183689
07/2024;qtd_aprovada;"130255 MANAQUIRI";-;18;-;560;-;194;166;-;-;-;-;-;13;-;-;-;2754;165;-;-;-;2;-;-;242;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4115
07/2024;qtd_aprovada;"130260 MANAUS";34900;59;7294;1630382;26920;55350;33551;12428;4791;583;3752;73;47597;27979;1585;20639;1145388;40880;1092;4274;14551;14744;13328;1;4684;1;17345;1;555;2054;11;300;101;28;1;-;5;4;335;1736;-;1992;212;54;33;-;5;869;620837;12235;313;-;30371;3836223
07/2024;qtd_aprovada;"130270 MANICORE";82;-;-;16812;-;1345;1170;-;-;-;-;-;242;-;-;269;12324;954;-;-;-;-;-;-;-;-;300;-;27;96;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;2;33672
07/2024;qtd_aprovada;"130280 MARAA";11718;-;-;1934;-;580;270;-;-;-;-;-;-;-;-;446;10457;-;-;-;-;-;-;-;-;-;184;-;55;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25670
07/2024;qtd_aprovada;"130290 MAUES";27;1841;1;31001;-;3903;664;-;-;-;-;-;465;-;6;725;17259;548;-;-;-;-;65;-;-;-;553;-;6;-;-;-;-;-;1;-;-;-;52;-;-;-;-;-;-;-;-;-;-;15;-;-;5992;63124
07/2024;qtd_aprovada;"130300 NHAMUNDA";-;-;-;6449;-;491;227;-;-;-;-;-;-;-;-;85;5449;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;12805
07/2024;qtd_aprovada;"130310 NOVA OLINDA DO NORTE";110;-;-;18434;-;83;-;-;-;-;-;-;7;-;-;352;24758;651;-;-;-;-;-;-;364;-;701;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45460
07/2024;qtd_aprovada;"130320 NOVO AIRAO";-;48;-;5777;-;773;249;-;-;-;-;-;8;-;-;210;6995;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;14138
07/2024;qtd_aprovada;"130330 NOVO ARIPUANA";100;51;159;28381;-;342;-;-;-;-;-;-;63;-;55;534;4972;249;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34906
07/2024;qtd_aprovada;"130340 PARINTINS";14475;-;393;45963;-;2676;1675;437;-;-;39;-;1878;189;118;1896;85778;395;77;-;-;200;510;-;-;-;1768;-;13;11;-;2;8;1;-;-;4;3;50;-;-;-;-;-;-;-;-;-;-;100;-;-;6790;165449
07/2024;qtd_aprovada;"130350 PAUINI";-;433;-;9747;-;233;184;-;-;-;-;-;32;-;-;-;2421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;13072
07/2024;qtd_aprovada;"130353 PRESIDENTE FIGUEIREDO";-;607;86;15726;-;1067;710;-;-;-;-;-;339;-;-;254;7905;1234;40;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28292
07/2024;qtd_aprovada;"130356 RIO PRETO DA EVA";70;406;-;6722;-;1803;166;-;-;-;-;-;73;-;-;1198;27622;-;-;-;-;-;32;-;-;-;700;-;28;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;38900
07/2024;qtd_aprovada;"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1795;-;217;2;-;-;-;-;-;-;-;3;75;3758;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;5920
07/2024;qtd_aprovada;"130370 SANTO ANTONIO DO ICA";-;-;-;9065;-;165;-;-;-;-;-;-;-;-;83;818;6899;-;-;-;-;10;-;-;-;-;31;-;7;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17081
07/2024;qtd_aprovada;"130380 SAO GABRIEL DA CACHOEIRA";34;109;33;1395;-;-;103;-;-;-;-;-;4;-;-;721;6656;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9248
07/2024;qtd_aprovada;"130390 SAO PAULO DE OLIVENCA";70;-;16;13079;-;1104;326;-;-;-;-;-;-;-;572;820;5153;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;21169
07/2024;qtd_aprovada;"130395 SAO SEBASTIAO DO UATUMA";17;-;-;3257;-;307;-;-;-;-;-;-;261;-;-;295;8637;568;-;-;-;-;-;-;-;-;293;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;32;-;-;108;13832
07/2024;qtd_aprovada;"130400 SILVES";18;-;-;3337;-;473;-;-;-;-;-;-;66;-;-;177;7265;-;-;-;-;-;150;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;36;-;-;5528;17109
07/2024;qtd_aprovada;"130406 TABATINGA";150;104;-;4410;-;1653;47;-;-;-;-;-;72;-;-;40;3856;145;5;-;-;81;640;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11299
07/2024;qtd_aprovada;"130410 TAPAUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"130420 TEFE";646;1013;312;60105;-;7170;2006;175;-;-;-;-;1104;-;21;2034;45256;4972;387;-;-;-;828;-;6025;-;801;-;10;111;-;-;-;-;-;-;-;2;84;-;-;301;-;-;-;-;-;-;-;56;4;-;3048;136471
07/2024;qtd_aprovada;"130423 TONANTINS";29717;-;-;875;-;260;261;-;-;-;-;-;59;-;118;1482;65812;-;-;-;-;-;-;-;-;-;706;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99290
07/2024;qtd_aprovada;"130426 UARINI";-;-;-;4414;-;367;107;-;-;-;-;-;37;-;-;57;2402;-;42;-;-;-;-;-;-;-;1;-;1;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7447
07/2024;qtd_aprovada;"130430 URUCARA";-;63;-;3946;-;245;111;-;-;-;-;-;30;-;-;62;4198;-;3;-;-;-;-;-;-;-;60;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;8770
07/2024;qtd_aprovada;"130440 URUCURITUBA";-;69;-;3036;-;236;-;-;-;-;-;-;-;-;-;-;1403;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4776
07/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"140002 AMAJARI";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
07/2024;qtd_aprovada;"140005 ALTO ALEGRE";850;14;-;1159;-;263;-;-;-;-;-;-;-;-;26;85;6110;141;-;-;-;-;22;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8722
07/2024;qtd_aprovada;"140010 BOA VISTA";45580;876;3492;198039;1681;23747;3278;2141;1365;58;81;3;6693;4054;180;4718;151416;2473;1594;28;3553;1457;6889;-;3478;-;787;-;63;1408;-;4;-;-;-;-;-;-;326;-;-;36;43;-;-;-;-;-;111544;367;42;-;44430;625924
07/2024;qtd_aprovada;"140015 BONFIM";4;50;-;559;-;-;-;-;-;-;-;-;-;-;-;56;3222;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3894
07/2024;qtd_aprovada;"140017 CANTA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;239
07/2024;qtd_aprovada;"140020 CARACARAI";-;72;-;1886;-;655;-;-;-;-;-;-;16;-;-;222;6603;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9490
